recipe_name,tag,image_url,recipe_url,page
Tarte tatin aux carottes et au miel,LÉGUMES,https://assets.magimix.com/files/rec_59792/avatar_tatin-carottes-avatar.jpg,https://www.magimix.fr/recettes/tarte-tatin-aux-carottes-et-au-miel_c,3
Moussaka vide frigo,VÉGÉTARIENS,https://assets.magimix.com/files/rec_45084/avatar_moussaga-frigo-avatar.jpg,https://www.magimix.fr/recettes/moussaka-vide-frigo_c,3
Lemon curd,DESSERTS,https://assets.magimix.com/files/rec_71478/avatar_lemoncurd-avatar.jpg,https://www.magimix.fr/recettes/lemoncurd_c,3
Gratin de pommes de terre au romarin,LÉGUMES,https://assets.magimix.com/files/rec_10216/avatar_gratin-pdt-avatar.jpg,https://www.magimix.fr/recettes/gratin-de-pommes-de-terre-au-romarin_r,3
Gâteau de patate douce au chocolat,DESSERTS,https://assets.magimix.com/files/rec_94823/avatar_gateau-patate-avatar.jpg,https://www.magimix.fr/recettes/gateau-de-patate-douce-au-chocolat_c,3
Filet mignon poires et clémentines,VIANDES,https://assets.magimix.com/files/rec_21202/avatar_Filet-porc-poire-avatar.jpg,https://www.magimix.fr/recettes/filet-mignon-poires-et-clmentines_c,3
Clafoutis aux légumes du potager,VÉGÉTARIENS,https://assets.magimix.com/files/rec_19850/avatar_clafoutis-leg-avtar.jpg,https://www.magimix.fr/recettes/clafoutis-aux-legumes-du-potager_r,3
Frites maison,LÉGUMES,https://assets.magimix.com/files/rec_32516/avatar_frites-avatar.jpg,https://www.magimix.fr/recettes/frites-maison_c,3
Camembert et ses petits pains,APÉRITIFS,https://assets.magimix.com/files/rec_34290/avatar_camembert-avatar.jpg,https://www.magimix.fr/recettes/camembert-et-ses-petits-pains_c,3
Velouté champignons et châtaignes,SOUPES,https://assets.magimix.com/files/rec_76260/avatar_veloute-champi-chataigne-avatar.jpg,https://www.magimix.fr/recettes/veloute-champignons-et-chataignes_c,3
Salade tacos,LÉGUMES,https://assets.magimix.com/files/rec_18022/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/salade-tacos_c,3
Brioche de l'épiphanie,BOULANGERIE,https://assets.magimix.com/files/rec_38611/avatar_brioche-provence-avatar.jpg,https://www.magimix.fr/recettes/brioche-de-lepiphanie_c,3
Muffins au cheddar et au bacon,APÉRITIFS,https://assets.magimix.com/files/rec_19322/avatar_muffins-bacon-avatar.jpg,https://www.magimix.fr/recettes/muffins-au-cheddar-et-au-bacon_b,3
Poulet à la moutarde revisité,VIANDES,https://assets.magimix.com/files/rec_49693/avatar_mustard-chicken-avatar.jpg,https://www.magimix.fr/recettes/poulet-la-moutarde-revisite_c,3
Poulet Tikka Masala,VIANDES,https://assets.magimix.com/files/rec_81131/Chicken Tikka Masala 375 x 353.jpg,https://www.magimix.fr/recettes/poulet-tikka-masala_c,3
Cookies épices et chocolat,DESSERTS,https://assets.magimix.com/files/rec_4473/avatar_cookies-speculoos-avatar.jpg,https://www.magimix.fr/recettes/cookies-pices-et-chocolat_c,3
Shot vitamine C,BOISSONS,https://assets.magimix.com/files/rec_98749/avatar_shot-orange-avatar.jpg,https://www.magimix.fr/recettes/shot-vitamine-c_c,3
Eau de pelures de pommes,BOISSONS,https://assets.magimix.com/files/rec_13595/avatar_water-apple-avatar.jpg,https://www.magimix.fr/recettes/eau-de-pelures-de-pommes_c,3
Biscuit anzac,DESSERTS,https://assets.magimix.com/files/rec_18193/Copy of RECIPE AVATAR (1).jpg,https://www.magimix.fr/recettes/biscuit-anzac_c,3
Souris d'agneau,VIANDES,https://assets.magimix.com/files/rec_76653/soursagneau.jpg,https://www.magimix.fr/recettes/souris-dagneau_c,3
Meringues de Noël,DESSERTS,https://assets.magimix.com/files/rec_66549/avatar_sapin-meringue-avatar.jpg,https://www.magimix.fr/recettes/meringues-sapin_c,3
Bonhommes aux épices,DESSERTS,https://assets.magimix.com/files/rec_38486/avatar_bonhomme-epices-avatar.jpg,https://www.magimix.fr/recettes/bonhommes-aux-epices_c,3
Lait chaud dattes et épices,BOISSONS,https://assets.magimix.com/files/rec_92959/avatar_lait-chaud-avatar.jpg,https://www.magimix.fr/recettes/lait-chaud-dattes-et-epices_c,3
